City,Max Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Country,Date
puerto ayora,-14.23,89.0,7.35,100.0,43.6475,111.9767,CN,1643566593
bourail,26.77,79.0,4.8,60.0,-21.3585,55.7679,RE,1643566593
taolanaro,26.24,82.0,4.67,100.0,-2.0226,147.2712,PG,1643566594
hithadhoo,6.38,82.0,3.1,4.0,40.9965,15.6514,IT,1643566594
tuatapere,-36.3,100.0,0.56,93.0,67.5447,133.385,RU,1643566594
solnechnyy,13.73,74.0,0.89,3.0,-42.7826,147.0587,AU,1643566595
erenhot,24.39,93.0,2.22,100.0,-3.8004,102.2655,ID,1643566595
saint-philippe,-0.02,88.0,5.66,39.0,62.3913,17.3063,SE,1643566595
lorengau,23.28,13.0,5.33,21.0,12.3807,17.0568,TD,1643566596
melfi,-10.88,63.0,3.71,100.0,60.9167,-46.05,GL,1643566596
verkhoyansk,25.25,93.0,1.76,99.0,-0.7289,-47.8481,BR,1643566596
new norfolk,16.95,94.0,3.09,100.0,-37.8333,140.7667,AU,1643566583
bengkulu,24.54,61.0,1.92,59.0,-23.1203,-134.9692,PF,1643566597
sundsvall,-28.45,100.0,1.28,100.0,71.9167,114.0833,RU,1643566332
bokoro,28.54,15.0,2.34,100.0,9.9022,4.4192,NG,1643566597
narsaq,-24.15,70.0,3.09,75.0,63.7506,-68.5145,CA,1643566598
curuca,26.55,83.0,7.45,100.0,-13.8833,167.55,VU,1643566489
mount gambier,25.12,79.0,5.9,10.0,-9.8,-139.0333,PF,1643566598
rikitea,19.45,42.0,3.41,0.0,32.6667,-17.1,PT,1643566599
saskylakh,1.38,70.0,3.19,19.0,34.6836,112.4536,CN,1643566599
wawa,24.79,87.0,4.83,100.0,-2.9022,-40.8411,BR,1643566599
iqaluit,23.18,70.0,0.89,20.0,22.0752,-159.319,US,1643566600
sola,-26.87,69.0,1.03,75.0,70.4692,-68.5914,CA,1643566600
atuona,23.87,86.0,9.45,89.0,-33.5906,26.891,ZA,1643566600
ponta do sol,25.64,81.0,1.47,84.0,4.1363,96.1285,ID,1643566601
luoyang,0.22,49.0,6.25,96.0,35.7333,140.8333,JP,1643566601
camocim,-31.11,97.0,2.12,88.0,68.75,161.3,RU,1643566602
kapaa,-6.38,51.0,1.34,75.0,42.097,-79.2353,US,1643566465
clyde river,20.05,49.0,6.17,40.0,4.7059,-74.2302,CO,1643565977
port alfred,-8.17,45.0,2.54,100.0,39.7432,98.5174,CN,1643566602
meulaboh,-12.91,35.0,14.29,6.0,65.6145,-37.6368,GL,1643566602
amderma,27.04,78.0,8.23,13.0,-24.8667,113.6333,AU,1643566603
illoqqortoormiut,22.28,72.0,0.89,0.0,-33.9258,18.4232,ZA,1643566603
hasaki,-2.6,86.0,0.0,0.0,44.7749,-117.8344,US,1643566603
cherskiy,28.25,70.0,4.33,85.0,-8.8978,-35.1478,BR,1643566604
jamestown,21.18,74.0,3.58,0.0,34.6391,-120.4579,US,1643566559
mosquera,23.52,88.0,6.17,20.0,-33.0153,27.9116,ZA,1643566604
jiuquan,-3.72,47.0,0.45,0.0,41.3712,-73.414,US,1643566604
tasiilaq,24.5,85.0,7.02,84.0,-33.918,25.5701,ZA,1643566605
carnarvon,21.81,91.0,3.2,71.0,-34.0527,23.3716,ZA,1643566605
cape town,-12.99,66.0,7.72,75.0,69.2167,-51.1,GL,1643566666
baker city,23.35,71.0,4.47,100.0,-10.75,-77.7667,PE,1643566666
sao jose da coroa grande,28.02,84.0,1.79,100.0,4.9333,-52.3333,GF,1643566591
lompoc,4.97,67.0,6.49,23.0,29.9576,122.298,CN,1643566666
east london,-36.14,100.0,1.08,97.0,66.7697,123.3711,RU,1643566667
bethel,19.99,68.0,6.69,96.0,20.931,-17.0347,MR,1643566667
port elizabeth,26.29,54.0,5.64,98.0,-33.6971,-53.4616,UY,1643566667
plettenberg bay,26.58,83.0,1.92,97.0,-8.145,159.5921,SB,1643566668
moerai,-5.47,36.0,0.45,42.0,42.6001,-73.9662,US,1643566507
ilulissat,26.93,76.0,5.24,100.0,-21.2,-175.2,TO,1643566668
barranca,17.27,49.0,4.63,0.0,30.3858,-88.6117,US,1643566439
cayenne,8.43,85.0,12.86,100.0,47.6666,-52.7314,CA,1643566669
shenjiamen,23.27,82.0,6.43,82.0,-34.0033,24.7314,ZA,1643566669
zhigansk,-4.68,90.0,5.57,99.0,53.4973,42.6163,RU,1643566670
nouadhibou,-28.07,95.0,0.96,92.0,67.8006,130.4114,RU,1643566670
chuy,25.06,45.0,4.52,73.0,21.2833,-89.6667,MX,1643566670
buala,24.36,84.0,0.5,100.0,-7.9631,145.7785,PG,1643566671
albany,22.88,83.0,4.96,20.0,-23.1333,150.7333,AU,1643566671
vaini,17.3,66.0,7.56,55.0,-37.6167,-73.65,CL,1643566671
gautier,28.9,70.0,3.09,40.0,-9.8756,-56.0861,BR,1643566468
tsihombe,22.38,83.0,5.66,20.0,-34.5322,20.0403,ZA,1643566672
torbay,24.12,92.0,1.12,78.0,10.9995,122.6711,PH,1643566672
kruisfontein,27.14,83.0,3.6,75.0,-20.3428,57.7575,MU,1643566673
zemetchino,24.36,72.0,0.0,0.0,20.8947,-156.47,US,1643566592
batagay-alyta,6.59,89.0,18.98,100.0,57.4129,-6.1942,GB,1643566673
progreso,-32.23,71.0,0.0,40.0,64.8378,-147.7164,US,1643566673
kerema,13.77,25.0,0.89,0.0,28.292,-82.4165,US,1643566674
yeppoon,3.86,65.0,7.91,40.0,46.4333,26.4,RO,1643566674
lebu,10.35,54.0,1.38,0.0,22.0333,96.4667,MM,1643566633
alta floresta,23.02,78.0,0.51,20.0,11.6667,92.75,IN,1643566675
bredasdorp,23.56,63.0,3.48,10.0,15.0167,74.0167,IN,1643566675
dingle,-7.5,93.0,4.7,100.0,58.4993,39.1353,RU,1643566675
bambous virieux,-1.45,74.0,18.52,40.0,63.4427,-20.2734,IS,1643566676
kahului,14.89,92.0,1.6,87.0,-46.6,168.3333,NZ,1643566676
portree,30.44,62.0,5.58,77.0,-17.7125,-39.2481,BR,1643566676
fairbanks,26.03,89.0,4.12,75.0,-21.2078,-159.775,CK,1643566677
pasco,15.34,87.0,0.89,40.0,-41.45,147.1667,AU,1643566677
asau,-1.0,78.0,9.56,97.0,70.8578,29.0864,NO,1643566677
maymyo,7.64,81.0,4.44,2.0,43.9433,15.4519,HR,1643566678
port blair,2.31,74.0,6.4,30.0,36.7167,117.5,CN,1643566678
kankon,2.94,70.0,4.63,100.0,57.0531,-135.33,US,1643566394
poshekhonye,13.07,77.0,13.58,99.0,32.767,22.6367,LY,1643566678
vestmannaeyjar,-12.88,75.0,7.28,100.0,50.0334,-66.8654,CA,1643566679
bluff,21.88,84.0,1.62,73.0,-34.5833,150.8552,AU,1643566679
caravelas,22.47,93.0,0.84,72.0,-17.0,145.4333,AU,1643566680
avarua,24.02,94.0,4.63,75.0,-8.3791,-74.5539,PE,1643566680
launceston,-10.94,92.0,6.06,100.0,67.6713,53.087,RU,1643566680
berlevag,13.34,45.0,5.46,98.0,31.2156,29.9553,EG,1643566681
biograd na moru,-17.87,85.0,0.0,100.0,55.1786,61.6222,RU,1643566741
mingshui,-24.08,95.0,1.5,100.0,69.7008,170.3133,RU,1643566741
sitka,0.54,25.0,8.27,62.0,37.3581,115.3744,CN,1643566742
darnah,32.1,22.0,3.67,0.0,-33.7456,-61.9688,AR,1643566742
port-cartier,-3.77,93.0,7.0,100.0,49.1447,56.4872,KZ,1643566742
flinders,-21.41,92.0,1.99,51.0,53.45,125.8,RU,1643566743
kot putli,14.32,66.0,10.0,66.0,39.05,-27.9833,PT,1643566743
mareeba,-12.46,88.0,4.63,75.0,49.8167,-94.4337,CA,1643566702
pucallpa,25.23,94.0,4.38,100.0,-19.55,169.2667,VU,1643566743
naryan-mar,24.16,14.0,4.11,94.0,10.3744,10.7288,NG,1643566744
alexandria,21.74,72.0,3.12,81.0,13.1667,44.5833,YE,1643566744
daru,5.6,60.0,8.95,95.0,49.0043,17.4363,CZ,1643566745
potanino,11.89,100.0,1.54,6.0,31.61,34.7642,IL,1643566745
pevek,-12.2,69.0,4.96,100.0,61.994,-49.6678,GL,1643566745
nangong,27.0,78.0,1.04,61.0,-20.9373,55.2919,RE,1643566746
venado tuerto,5.01,67.0,5.58,100.0,35.1333,140.3,JP,1643566746
shubarkuduk,26.82,78.0,7.2,28.0,-21.3393,55.4781,RE,1643566746
magdagachi,-10.78,95.0,3.32,100.0,60.0158,41.0614,RU,1643566747
lagoa,20.06,68.0,4.12,0.0,26.5579,54.8807,IR,1643566747
kenora,-11.0,94.0,3.46,100.0,65.2,31.1667,RU,1643566747
isangel,23.68,71.0,3.09,40.0,19.7297,-155.09,US,1643566748
bara,-15.0,98.0,1.88,100.0,65.3718,58.0387,RU,1643566748
lahij,-18.4,92.0,9.56,100.0,73.5069,80.5464,RU,1643566748
ostrozska nova ves,-8.89,44.0,3.47,100.0,40.2833,97.2,CN,1643566749
gat,18.01,56.0,5.06,69.0,27.9769,-114.0611,MX,1643566749
paamiut,-21.36,100.0,0.75,100.0,62.1406,65.3936,RU,1643566713
le port,9.81,95.0,3.09,100.0,40.5982,-124.1573,US,1643566750
katsuura,9.94,52.0,1.97,27.0,40.661,-7.9097,PT,1643566750
saint-pierre,26.47,83.0,2.85,96.0,-1.8283,-44.8683,BR,1643566750
syamzha,-5.93,92.0,5.62,97.0,54.5777,41.8145,RU,1643566752
bandar-e lengeh,11.65,57.0,1.5,7.0,25.5198,90.2201,IN,1643566752
kalevala,-27.36,100.0,1.85,82.0,71.6872,128.8694,RU,1643566752
hilo,-12.71,64.0,4.47,75.0,50.2001,-66.3821,CA,1643566753
synya,24.5,88.0,0.51,100.0,-26.2433,-48.6381,BR,1643566753
crab hill,16.31,94.0,1.64,96.0,-8.9266,125.4092,TL,1643566753
dikson,-24.64,99.0,3.65,99.0,67.4667,78.7,RU,1643566754
yumen,-23.99,77.0,4.63,40.0,71.2906,-156.7887,US,1643566754
guerrero negro,-17.02,93.0,1.2,6.0,43.5064,123.5064,CN,1643566754
nyagan,14.22,77.0,5.66,40.0,38.5167,-28.7,PT,1643566580
fortuna,-0.66,89.0,9.58,100.0,56.3167,22.9,LT,1643566755
viseu,-10.67,85.0,4.0,75.0,53.0452,158.6483,RU,1643566755
cururupu,25.93,80.0,2.9,1.0,-16.2325,39.9086,MZ,1643566756
umzimvubu,-29.94,100.0,2.15,16.0,49.758,129.523,RU,1643566756
pitelino,3.16,94.0,5.04,100.0,61.4732,-6.8119,FO,1643566756
tura,-19.0,78.0,8.75,100.0,69.4541,-133.0374,CA,1643566757
tiksi,21.1,40.0,2.22,88.0,7.7669,-72.225,VE,1643566757
sept-iles,-8.05,44.0,1.5,78.0,38.9342,100.4517,CN,1643566758
sao francisco do sul,-16.31,97.0,3.62,91.0,68.0531,39.5131,RU,1643566818
airai,31.21,54.0,1.34,98.0,-8.1642,-70.3536,BR,1643566818
tazovskiy,-12.31,70.0,0.96,28.0,36.6167,101.7667,CN,1643566819
barrow,-15.86,95.0,3.6,100.0,61.0998,72.6035,RU,1643566819
zhengjiatun,23.62,90.0,0.89,100.0,-2.6833,111.6167,ID,1643566819
ribeira grande,5.93,86.0,1.03,100.0,46.4154,3.9054,FR,1643566820
naujoji akmene,-0.62,48.0,0.45,100.0,39.0062,-77.4286,US,1643566679
petropavlovsk-kamchatskiy,27.79,79.0,3.8,29.0,17.8815,-76.4093,JM,1643566820
angoche,1.71,95.0,6.36,99.0,46.1333,25.6167,RO,1643566821
shirokiy,10.26,29.0,0.89,0.0,37.1041,-113.5841,US,1643566554
vagur,-3.14,86.0,9.26,75.0,70.3705,31.1107,NO,1643566821
tuktoyaktuk,16.32,98.0,3.19,9.0,-38.2667,141.9667,AU,1643566821
san cristobal,25.38,73.0,3.39,100.0,-0.8667,134.0833,ID,1643566822
haibowan,-0.23,95.0,4.62,100.0,52.6333,29.7333,BY,1643566822
zhangye,6.13,34.0,1.34,4.0,34.8791,-76.9013,US,1643566823
gushikawa,20.3,58.0,4.96,99.0,-7.8447,-79.1469,PE,1643566823
ostrovnoy,25.21,87.0,5.25,16.0,6.1241,81.1185,LK,1643566780
mys shmidta,22.68,94.0,5.14,75.0,-9.4431,147.1797,PG,1643566824
feijo,26.13,23.0,5.01,68.0,4.1213,43.8894,SO,1643566824
xining,21.38,65.0,4.64,60.0,-33.8667,121.9,AU,1643566824
nefteyugansk,21.05,100.0,2.06,40.0,-31.4333,152.9167,AU,1643566825
pangkalanbuun,18.1,15.0,6.1,1.0,18.6853,12.9164,NE,1643566825
saint-francois,0.92,50.0,7.91,100.0,67.667,12.6934,NO,1643566825
sterling,2.13,95.0,0.56,46.0,27.3409,117.4831,CN,1643566826
morant bay,0.68,86.0,3.09,100.0,40.4272,71.7189,UZ,1643566697
bradut,27.16,83.0,3.6,75.0,-20.4081,57.7,MU,1643566826
sarasau,26.39,15.0,2.71,54.0,8.8833,11.3667,NG,1643566827
saint george,18.33,50.0,5.14,0.0,29.5958,-90.7195,US,1643566806
vardo,17.81,42.0,4.2,0.0,30.8207,-88.0706,US,1643566827
codrington,23.14,77.0,3.75,100.0,-10.0681,-78.1522,PE,1643566827
manokwari,-3.35,88.0,2.38,100.0,52.85,-102.3842,CA,1643566828
svetlogorsk,13.35,84.0,1.64,94.0,-41.4122,175.5153,NZ,1643566828
havelock,-3.49,43.0,0.72,48.0,38.4167,77.2406,CN,1643566828
chicama,-8.8,92.0,2.06,75.0,64.7507,20.9528,SE,1643566829
hambantota,7.99,49.0,1.93,0.0,20.7833,97.0333,MM,1643566829
port moresby,2.92,76.0,3.36,66.0,33.7333,135.9833,JP,1643566830
vestbygda,22.23,88.0,8.23,100.0,-28.7667,114.6,AU,1643566830
xuddur,25.76,62.0,1.62,100.0,3.2204,-76.3139,CO,1643566830
esperance,25.25,87.0,1.91,86.0,-3.945,122.4989,ID,1643566831
port macquarie,31.83,20.0,0.17,83.0,6.5456,-7.4966,CI,1643566831
bilma,25.84,67.0,3.09,20.0,22.8909,-109.9124,MX,1643566831
sorland,12.67,90.0,2.05,32.0,-45.8742,170.5036,NZ,1643566832
shaowu,27.19,75.0,3.57,73.0,5.4033,125.4636,PH,1643566833
komsomolskiy,28.23,42.0,4.28,6.0,-34.4833,-54.3333,UY,1643566834
sentyabrskiy,-5.95,83.0,1.54,20.0,61.5814,-149.4394,US,1643566801
mahebourg,17.67,97.0,1.35,100.0,-8.1881,15.375,AO,1643566894
jalingo,28.18,71.0,4.49,79.0,-9.0122,-35.2225,BR,1643566895
houma,-5.29,51.0,6.69,0.0,44.1003,-70.2148,US,1643566895
saraland,-13.92,51.0,7.2,32.0,48.8832,-72.4487,CA,1643566895
huarmey,24.47,73.0,7.13,56.0,9.4942,50.8122,SO,1643566896
hudson bay,6.71,80.0,2.24,100.0,54.2797,-0.4044,GB,1643566795
waipawa,1.14,37.0,0.45,100.0,38.2668,-76.4538,US,1643566896
shache,26.37,74.0,3.25,32.0,-16.7833,-151.5,PF,1643566897
skelleftea,28.4,77.0,2.19,71.0,-17.7833,-57.7667,BO,1643566897
taunggyi,30.14,27.0,3.02,43.0,9.7873,-69.7937,VE,1643566897
ahumada,25.09,86.0,4.76,100.0,-2.8856,-40.12,BR,1643566898
ozgon,11.56,69.0,8.45,97.0,28.3667,129.4833,JP,1643566898
shingu,21.89,95.0,1.66,99.0,-5.3833,27.0,CD,1643566898
geraldton,11.4,21.0,2.18,0.0,39.4883,-1.1004,ES,1643566899
padilla,27.83,70.0,4.03,69.0,4.8699,-2.2405,GH,1643566899
kendari,14.23,49.0,0.99,88.0,40.1629,-8.3327,PT,1643566899
guiglo,-15.91,78.0,2.06,20.0,55.7435,-97.8558,CA,1643566900
cabo san lucas,32.3,51.0,1.67,80.0,-5.1833,-68.9,BR,1643566900
dunedin,11.97,96.0,1.08,50.0,-46.2817,169.8464,NZ,1643566901
sarangani,7.96,75.0,2.68,90.0,41.2092,36.9739,TR,1643566901
rocha,-22.33,65.0,2.61,18.0,50.35,90.5,RU,1643566901
tukrah,0.08,91.0,2.14,79.0,67.0953,15.3878,NO,1643566902
wasilla,-13.52,97.0,2.74,87.0,69.5259,31.1703,RU,1643566902
camabatela,23.65,68.0,7.05,88.0,-25.1667,45.05,MG,1643566902
maragogi,12.44,46.0,5.25,2.0,34.0537,-85.255,US,1643566903
lewiston,-2.14,88.0,1.12,56.0,54.7169,-113.2854,CA,1643566889
albanel,22.33,95.0,1.03,74.0,-35.7167,150.1833,AU,1643566903
bandarbeyla,-24.69,97.0,3.93,86.0,69.4865,88.3972,RU,1643566904
scarborough,13.27,44.0,0.58,0.0,29.5542,66.0215,PK,1643566904
lexington park,-2.88,95.0,4.44,94.0,51.6703,45.5953,RU,1643566905
tevaitoa,25.07,86.0,2.5,99.0,0.7,108.9,ID,1643566905
puerto quijarro,-16.95,96.0,2.85,100.0,53.9353,139.9242,RU,1643566905
el tocuyo,22.81,77.0,2.76,58.0,14.05,78.75,IN,1643566906
acarau,4.19,87.0,8.23,100.0,58.9848,-2.9587,GB,1643566906
naze,-3.03,80.0,14.92,75.0,63.8424,-22.4338,IS,1643566906
yian,20.95,75.0,4.75,68.0,-26.6481,15.1594,NA,1643566907
kongolo,31.28,62.0,5.49,75.0,-15.8631,-38.8828,BR,1643566907
requena,0.45,61.0,1.04,51.0,34.2583,108.9286,CN,1643566907
axim,24.05,69.0,1.54,0.0,17.0151,54.0924,OM,1643566908
lata,-14.82,80.0,3.52,1.0,64.3833,-173.3,RU,1643566902
thompson,33.18,10.0,3.29,30.0,9.65,-9.7833,GN,1643566908
jutai,17.86,82.0,0.89,20.0,28.6585,-17.9182,ES,1643566909
kaitangata,2.27,94.0,2.32,100.0,35.5333,134.8333,JP,1643566909
terme,28.46,74.0,4.12,0.0,15.85,-97.0667,MX,1643566786
mugur-aksy,22.12,70.0,6.97,100.0,14.8961,-24.4956,CV,1643566909
rognan,-19.86,85.0,2.94,100.0,49.6835,-83.6665,CA,1643566970
pechenga,-12.99,78.0,3.6,100.0,53.8251,-101.2541,CA,1643566970
beloha,24.59,75.0,8.17,81.0,-30.7414,30.455,ZA,1643566970
cedartown,24.01,76.0,4.41,92.0,-17.7333,-149.15,PF,1643566971
athabasca,24.04,24.0,1.64,56.0,27.0167,-108.9333,MX,1643566971
batemans bay,-3.95,61.0,4.57,44.0,39.2667,141.8833,JP,1643566972
talnakh,-30.06,97.0,1.46,62.0,56.1481,113.4267,RU,1643566972
one hundred mile house,28.61,60.0,9.94,49.0,-20.7377,116.8463,AU,1643566972
samalaeulu,25.45,84.0,2.72,100.0,1.1667,108.9667,ID,1643566973
nushki,2.93,99.0,3.34,65.0,45.8456,41.5186,RU,1643566810
tatishchevo,3.02,75.0,1.83,100.0,32.1228,114.0656,CN,1643566973
sungairaya,15.18,75.0,0.45,52.0,22.2855,114.1577,HK,1643566798
mnogovershinnyy,-12.19,59.0,4.69,6.0,43.7444,135.2892,RU,1643566974
gardan diwal,3.51,82.0,7.12,100.0,62.2266,-6.589,FO,1643566852
rayachoti,28.18,66.0,1.94,74.0,-13.255,-43.4181,BR,1643566974
kirkwall,15.36,70.0,0.89,0.0,38.421,-121.4238,US,1643566969
grindavik,28.9,60.0,1.97,92.0,-8.11,-42.9444,BR,1643566975
luderitz,-14.09,72.0,2.57,100.0,54.7682,-101.865,CA,1643566907
belmonte,33.05,58.0,3.6,40.0,-4.2525,-69.9381,BR,1643566975
xian,10.98,38.0,1.34,0.0,37.12,-93.4802,US,1643566975
salalah,28.27,88.0,0.0,20.0,5.4112,100.3354,MY,1643566912
provideniya,27.43,18.0,2.28,80.0,8.3018,30.1418,SS,1643566976
tokonou,-18.87,100.0,0.88,100.0,61.9247,63.0231,RU,1643566976
los llanos de aridane,-28.62,82.0,1.0,75.0,64.75,177.4833,RU,1643566977
toyooka,27.02,76.0,2.45,100.0,-18.65,-173.9833,TO,1643566977
puerto escondido,-35.98,68.0,1.03,40.0,65.282,-126.8329,CA,1643566977
sao filipe,28.03,83.0,8.23,52.0,-20.3167,118.5667,AU,1643566857
namibe,23.34,68.0,4.63,0.0,-13.7,-76.2167,PE,1643566978
hearst,-17.0,98.0,1.7,92.0,61.8106,51.5806,RU,1643566978
tumannyy,27.98,83.0,3.6,40.0,-0.7193,8.7815,GA,1643566979
the pas,21.73,61.0,2.1,6.0,15.7167,73.8,IN,1643566979
port shepstone,17.52,82.0,7.2,40.0,33.0833,-16.3333,PT,1643566979
tautira,31.11,55.0,3.19,73.0,-15.5631,-39.3025,BR,1643566980
alamos,25.38,84.0,1.63,100.0,-8.4667,140.3333,ID,1643566877
attawapiskat,-24.06,100.0,0.51,94.0,61.67,96.37,RU,1643566980
kamaishi,30.12,51.0,6.17,20.0,11.2529,-85.8705,NI,1643566980
severomuysk,10.46,86.0,3.12,94.0,47.875,-3.9225,FR,1643566981
karratha,30.04,49.0,4.89,7.0,10.7,-14.3667,GN,1643566981
pemangkat,26.23,86.0,2.64,100.0,-6.2167,155.6333,PG,1643566870
krasnogvardeyskoye,22.74,80.0,3.09,50.0,-28.783,32.0377,ZA,1643566981
xinyang,29.34,65.0,8.23,40.0,13.2167,-59.5167,BB,1643566982
victoria,13.82,44.0,1.06,7.0,41.1818,-7.8003,PT,1643566982
olga,31.41,22.0,2.28,33.0,-35.6566,-63.7568,AR,1643566983
klaksvik,26.92,57.0,3.63,90.0,-5.5569,-80.8222,PE,1643566983
halalo,22.53,81.0,5.45,94.0,-22.35,16.1333,NA,1643566983
bom jesus da lapa,23.55,92.0,0.36,100.0,-23.7781,-45.3581,BR,1643567044
laguna,10.14,27.0,6.32,6.0,34.4166,-79.3712,US,1643567044
canto do buriti,-30.08,99.0,1.76,46.0,47.35,142.8,RU,1643567044
flin flon,1.61,58.0,4.59,100.0,63.7256,8.834,NO,1643567045
tabatinga,37.0,7.0,3.47,10.0,13.8065,-10.8321,ML,1643567045
republic,-7.19,34.0,0.8,94.0,42.2683,118.9636,CN,1643567045
nizhneyansk,25.03,86.0,4.55,100.0,-2.9248,-39.9167,BR,1643566994
georgetown,-2.05,70.0,12.29,74.0,66.0449,-17.3389,IS,1643567046
ler,30.5,66.0,6.89,33.0,-5.1989,-35.4608,BR,1643567046
agirish,34.19,37.0,1.08,86.0,-16.9833,-65.1333,BO,1643567047
anadyr,29.75,41.0,7.31,11.0,10.1483,-85.452,CR,1643567047
neiafu,30.09,35.0,2.78,2.0,19.9333,-105.25,MX,1643567047
norman wells,27.92,31.0,5.03,0.0,-28.5708,-70.7581,CL,1643567048
mixtepec,16.84,49.0,1.61,0.0,30.4833,-115.95,MX,1643566851
port hedland,16.08,37.0,5.46,0.0,24.6877,46.7219,SA,1643566664
pisco,13.54,21.0,1.85,0.0,39.2858,-2.7921,ES,1643567048
kortkeros,-15.26,89.0,5.8,100.0,68.7098,-52.8699,GL,1643567048
port-gentil,31.0,45.0,3.09,20.0,-26.8241,-65.2226,AR,1643567006
pernem,27.19,75.0,0.8,88.0,-2.5744,150.7967,PG,1643567047
camacha,-20.92,100.0,1.2,100.0,61.3614,63.5842,RU,1643567049
mascote,32.92,26.0,3.63,1.0,-34.5838,-60.9433,AR,1643567049
merauke,24.27,28.0,0.42,99.0,2.6678,12.7109,CM,1643567050
baykit,18.28,59.0,1.25,0.0,28.147,-15.6502,ES,1643567050
san juan del sur,19.91,42.0,1.79,0.0,30.2672,-97.7431,US,1643566980
